Day,Brewery,Event,Title,Details,Time,Logo,Event Photo,Instagram,Twitter,Facebook,Address
Sunday,ROUGHTAIL BREWING,BRUNCH,Roughtail's Sunday Brunch,"Apparently, eating breakfast foods at noon is considered trendy and sophisticated. Plus, this gives you an excuse to drink before noon without feeling guilty.",11:00am-4:00pm,https://drive.google.com/file/d/1sDUiahV3uJRGgO74shMklTUbS7t2qrAe/view?usp=share_link,https://drive.google.com/file/d/1sq5wC0qdimXHUnnuzMkWUBlLJA91_Gwv/view?usp=share_link,https://www.instagram.com/roughtailbrewingco/,https://twitter.com/Roughtailbeer,https://www.facebook.com/roughtailbeer/,"320 W. Memorial Rd., OKC, OK 73114"
Tuesday,ROUGHTAIL BREWING,TAPS & GLASS,,Each week we give away a different piece of glassware with the purchase of a select draft pour,3:00 - 9:00 pm,https://drive.google.com/file/d/1sDUiahV3uJRGgO74shMklTUbS7t2qrAe/view?usp=share_link,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4ZzEEadpT0qHyEgC7vwW/pub/DDYQTQAI8PboFS6K93JZ.jpeg,https://www.instagram.com/roughtailbrewingco/,https://twitter.com/Roughtailbeer,https://www.facebook.com/roughtailbeer/,"320 W. Memorial Rd., OKC, OK 73114"
Saturday,FRENZY BREWING,Live Music Check Out the Special Events Section,,Enjoy a Frenzy brew and listen to local live music. Each Saturday features a different musician.,7:00-10:30 PM,https://drive.google.com/file/d/1Lh2DRuaPXEnNWC8jTNyN8VuHypdSWrDn/view?usp=share_link,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4ZzEEadpT0qHyEgC7vwW/pub/TOrmJy2mWqG5wG3Ff07x.jpeg,https://www.instagram.com/frenzybrewing,https://twitter.com/frenzybrewing,https://www.facebook.com/FrenzyBrewing,"15 S. Broadway, Edmond, OK 73034"
Sunday,SKYDANCE BREWING,TRIVIA NIGHT,,Trivia Night - Free Play - Winning Prizes - Snacks - Fun,7:00 PM - 9:00 PM,https://drive.google.com/file/d/1AjHQIYpgplZSva_UvcrG5GE2gzlbhyKH/view?usp=share_link,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4ZzEEadpT0qHyEgC7vwW/pub/Qz6xyWWGBR3DMgGx2IXl.jpeg,https://www.instagram.com/skydancebrewing/,https://twitter.com/SkydanceBrewing,https://www.facebook.com/SkydanceBrewing,"1 NE 7th St., OKC, OK 73104"
Monday,BEER IS GOOD BREWING,Hoppy Hour,,Come enjoy $1 off 12oz pours from open until 6pm Monday - Friday!,4:00-6:00,https://drive.google.com/file/d/1qgaqiRSOhtNYJ25tDWjqfS2RF5s5uMsp/view?usp=share_link,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4ZzEEadpT0qHyEgC7vwW/pub/8hJmOyTuSmxKn61koSh7.jpeg,https://www.instagram.com/bigbrewco/,,https://www.facebook.com/BIGbrewco,"216 E. Main St., Norman, OK 73069"
Tuesday,BEER IS GOOD BREWING,Hoppy Hour,,Come enjoy $1 off 12oz pours from open until 6pm Monday - Friday!,4:00-6:00,https://drive.google.com/file/d/1qgaqiRSOhtNYJ25tDWjqfS2RF5s5uMsp/view?usp=share_link,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4ZzEEadpT0qHyEgC7vwW/pub/8b3lVAVWciAwkbePshY9.jpeg,https://www.instagram.com/bigbrewco/,,https://www.facebook.com/BIGbrewco,"216 E. Main St., Norman, OK 73069"
Wednesday,BEER IS GOOD BREWING,Hoppy Hour,,Come enjoy $1 off 12oz pours from open until 6pm Monday - Friday!,4:00-6:00,https://drive.google.com/file/d/1qgaqiRSOhtNYJ25tDWjqfS2RF5s5uMsp/view?usp=share_link,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4ZzEEadpT0qHyEgC7vwW/pub/rih53SPr1pZePwto48a3.jpeg,https://www.instagram.com/bigbrewco/,,https://www.facebook.com/BIGbrewco,"216 E. Main St., Norman, OK 73069"
Thursday,BEER IS GOOD BREWING,Hoppy Hour,,Come enjoy $1 off 12oz pours from open until 6pm Monday - Friday!,4:00-6:00,https://drive.google.com/file/d/1qgaqiRSOhtNYJ25tDWjqfS2RF5s5uMsp/view?usp=share_link,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4ZzEEadpT0qHyEgC7vwW/pub/mIPynu93ABusS73igzC3.jpeg,https://www.instagram.com/bigbrewco/,,https://www.facebook.com/BIGbrewco,"216 E. Main St., Norman, OK 73069"
Friday,BEER IS GOOD BREWING,Hoppy Hour,,Come enjoy $1 off 12oz pours from open until 6pm Monday - Friday!,11:00-6:00,https://drive.google.com/file/d/1qgaqiRSOhtNYJ25tDWjqfS2RF5s5uMsp/view?usp=share_link,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4ZzEEadpT0qHyEgC7vwW/pub/X7uzz1t4WddydfJuIGzV.jpeg,https://www.instagram.com/bigbrewco/,,https://www.facebook.com/BIGbrewco,"216 E. Main St., Norman, OK 73069"
Tuesday,BEER IS GOOD BREWING,Open Mic Night!,,"All types of talent welcome! Come claim your 10 minutes of fame! Sign up at 7, show starts at 7:30. Last Tuesday of every month!",7:30 (last Tuesday of the month),https://drive.google.com/file/d/1qgaqiRSOhtNYJ25tDWjqfS2RF5s5uMsp/view?usp=share_link,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4ZzEEadpT0qHyEgC7vwW/pub/wCgsxNjU2ZuTJ0D1xFdP.jpeg,https://www.instagram.com/bigbrewco/,,https://www.facebook.com/BIGbrewco,"216 E. Main St., Norman, OK 73069"
Tuesday,BEER IS GOOD BREWING,Live Music!,,Come listen to some talented local musicians and drink some beers!,7:00-9:00,https://drive.google.com/file/d/1qgaqiRSOhtNYJ25tDWjqfS2RF5s5uMsp/view?usp=share_link,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4ZzEEadpT0qHyEgC7vwW/pub/a0T11FMEKadm9pwd4dON.jpeg,https://www.instagram.com/bigbrewco/,,https://www.facebook.com/BIGbrewco,"216 E. Main St., Norman, OK 73069"
Thursday,BEER IS GOOD BREWING,BINGO!,,Come win some fabulous prizes and enjoy awesome brews! (generally NSFW),7:00-10:00,https://drive.google.com/file/d/1qgaqiRSOhtNYJ25tDWjqfS2RF5s5uMsp/view?usp=share_link,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4ZzEEadpT0qHyEgC7vwW/pub/If5VpmH3dXzNp8MvA42Z.jpeg,https://www.instagram.com/bigbrewco/,,https://www.facebook.com/BIGbrewco,"216 E. Main St., Norman, OK 73069"
Sunday,BEER IS GOOD BREWING,Sunday Brunch Beertails,,"$5 beermosas, micheladas, and mimosas",10:00-3:00,https://drive.google.com/file/d/1qgaqiRSOhtNYJ25tDWjqfS2RF5s5uMsp/view?usp=share_link,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4ZzEEadpT0qHyEgC7vwW/pub/Q2lJbFF1XOnxqZu5xoza.jpeg,https://www.instagram.com/bigbrewco/,,https://www.facebook.com/BIGbrewco,"216 E. Main St., Norman, OK 73069"
Tuesday,LIVELY BEERWORKS,LIVELY CONCERT SERIES,,Free live and local music on the patio - find the line-up on our website.,5:30-8:30pm,https://drive.google.com/file/d/1i6oQq1qLf7_mhhniwcvIYGbvzi6XbSDT/view?usp=share_link,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4ZzEEadpT0qHyEgC7vwW/pub/rxHhcLplLWh9AJrNywoO.jpg,https://www.instagram.com/livelybeerworks/,https://twitter.com/LivelyBeerworks,https://www.facebook.com/livelybeerworks/,"815 SW 2nd St., OKC, OK 73109"
Wednesday,LIVELY BEERWORKS,LIVELY CONCERT SERIES,,Free live and local music on the patio - find the line-up on our website.,5:30-8:30pm,https://drive.google.com/file/d/1i6oQq1qLf7_mhhniwcvIYGbvzi6XbSDT/view?usp=share_link,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4ZzEEadpT0qHyEgC7vwW/pub/rxHhcLplLWh9AJrNywoO.jpg,https://www.instagram.com/livelybeerworks/,https://twitter.com/LivelyBeerworks,https://www.facebook.com/livelybeerworks/,"815 SW 2nd St., OKC, OK 73109"
Thursday,LIVELY BEERWORKS,LIVELY CONCERT SERIES,,Free live and local music on the patio - find the line-up on our website.,5:30-8:30pm,https://drive.google.com/file/d/1i6oQq1qLf7_mhhniwcvIYGbvzi6XbSDT/view?usp=share_link,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4ZzEEadpT0qHyEgC7vwW/pub/rxHhcLplLWh9AJrNywoO.jpg,https://www.instagram.com/livelybeerworks/,https://twitter.com/LivelyBeerworks,https://www.facebook.com/livelybeerworks/,"815 SW 2nd St., OKC, OK 73109"
Friday,LIVELY BEERWORKS,LIVELY CONCERT SERIES,,Free live and local music on the patio - find the line-up on our website.,5:30-8:30pm,https://drive.google.com/file/d/1i6oQq1qLf7_mhhniwcvIYGbvzi6XbSDT/view?usp=share_link,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4ZzEEadpT0qHyEgC7vwW/pub/rxHhcLplLWh9AJrNywoO.jpg,https://www.instagram.com/livelybeerworks/,https://twitter.com/LivelyBeerworks,https://www.facebook.com/livelybeerworks/,"815 SW 2nd St., OKC, OK 73109"
Friday,ROUGHTAIL BREWING,Board Game Night,,Free Board Games with the Oklahoma Board Game Association + Friendship,7-9pm,https://drive.google.com/file/d/1sDUiahV3uJRGgO74shMklTUbS7t2qrAe/view?usp=share_link,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4ZzEEadpT0qHyEgC7vwW/pub/dT7DJWZ0qmYDtbF3NApN.jpg,,,,"320 W. Memorial Rd., OKC, OK 73114"
